file_name,deployment,location,pollutant,timezone,start,end,header_type,tz_change_from_ref
APODE1_7_2,H,Shed,,MST,7/2/2024 14:14,8/2/2024 9:34,3.1.0,0
APODD2_7_3,H,Shed,,MST,7/3/2024 11:00,7/11/2024 8:30,3.1.0,0
APODD4_7_3,H,Shed,,MST,7/3/2024 11:00,7/3/2024 14:00,3.1.0,0
APODD5_7_1,H,Shed,,MST,7/1/2024 0:00,7/11/2024 8:30,3.1.0,0
APODD6_7_1,H,Shed,,MST,7/1/2024 0:00,7/7/2024 6:30,3.1.0,0
APODD7_7_1,H,Shed,,MST,7/1/2024 0:00,7/11/2024 8:30,3.1.0,0
APODD8_7_3,H,Shed,,MST,7/3/2024 10:00,7/3/2024 12:30,3.1.0,0
APODD1_2_10,F,FtS,,MST,2/10/2024 7:52,2/11/2024 7:12,3.1.0,0
APODD5_2_10,F,FtS,,MST,2/10/2024 7:43,2/11/2024 7:14,3.1.0,0
APODD7_2_10,F,FtS,,MST,2/10/2024 7:17,2/11/2024 6:26,3.1.0,0
APODE1_5_22_24,C,CAMML,CH4Dry_ppm,MST,5/22/2024 9:00,7/1/2024 9:05,3.1.0,0
APODE1_5_22_24,C,CAMML,TVOC_ppm,MST,5/22/2024 9:00,7/1/2024 9:05,3.1.0,0
APODE1_5_22_24,C,CAMML,Temperature,MST,5/22/2024 9:00,7/1/2024 9:05,3.1.0,0
APODE1_5_22_24,C,CAMML,Humidity,MST,5/22/2024 9:00,7/1/2024 9:05,3.1.0,0
MPODD1_0115_25,C,Ures,TVOC_ppb,UTC,1/15/2025 0:42,1/28/2025 19:46,3.2.0,0
MPODD1_0115_25,C,Ures,Temperature,UTC,1/15/2025 0:42,1/28/2025 19:46,3.2.0,0
MPODD1_0115_25,C,Ures,Humidity,UTC,1/15/2025 0:42,1/28/2025 19:46,3.2.0,0
MPODD1_0115_25,C,Ures,CH4_ppb,UTC,1/15/2025 0:42,1/28/2025 19:46,3.2.0,0
APODE1_12_12,H,Shed,,MST,12/13/2023 0:00,1/8/2024 12:00,3.1.0,0
APODD1_12_12,H,Shed,,MST,12/12/2023 16:48,12/15/2023 23:00,3.1.0,0
APODD2_12_12,H,Shed,,MST,12/12/2023 16:48,12/23/2023 11:00,3.1.0,0
APODD4_12_12,H,Shed,,MST,12/12/2023 16:48,12/14/2023 23:00,3.1.0,0
APODD5_12_12,H,Shed,,MST,12/12/2023 16:48,1/8/2024 23:00,3.1.0,0
APODD6_12_12,H,Shed,,MST,12/12/2023 16:48,12/20/2023 23:00,3.1.0,0
APODD7_12_12,H,Shed,,MST,12/12/2023 16:48,1/8/2024 23:00,3.1.0,0
APODD9_12_12,H,Shed,,MST,12/12/2023 16:48,1/8/2024 23:00,3.1.0,0
